Lookup Type,Code,Name,Sort Order,Value*
"EmotionalProblemsCorrelationWithSubstanceUse","SymptomsOnlyRelatedToSubstanceUse","Symptoms have only been related to substance use","2","1"
"EmotionalProblemsCorrelationWithSubstanceUse","RelationToSubstanceUseIsUnclear","Relation to substances is unclear","3","2"
"EmotionalProblemsCorrelationWithSubstanceUse","ProblemsIndependentOfSubstanceUse","Problems occur independent of substance use","4","3"
"EmotionalProblemsCorrelationWithSubstanceUse","ProblemsIndependentOfSubstanceUseAndAddictionMayExacerbate","Problems are independent and addiction may exacerbate either through cessation or intoxication","5","4"
"EmotionalProblemsImpactRecoveryEffortsScale","NoProblems","No problems","1","0"
"EmotionalProblemsImpactRecoveryEffortsScale","ProblemsWontInterfere","Problems won't interfere","2","1"
"EmotionalProblemsImpactRecoveryEffortsScale","SomewhatDistractingFromRecovery","Somewhat distracting from recovery","3","2"
"EmotionalProblemsImpactRecoveryEffortsScale","WillHinderTreatmentRecoveryParticipation","Will hinder treatment/recovery participation","4","3"
"EmotionalProblemsImpactRecoveryEffortsScale","LikelyToThreatenRecovery","Likely to threaten recovery (e.g., thought disorder, impulsive personality disorder)","5","4"
"PatientCarriesPsychiatricDiagnosis","No","No","1","0"
"PatientCarriesPsychiatricDiagnosis","YesImpliedByCollateral","Yes, implied by collateral","2","1"
"PatientCarriesPsychiatricDiagnosis","YesReportedByPatient","Yes, reported by patient","3","2"
"PatientCarriesPsychiatricDiagnosis","YesDocumentedByCaregiverPastOrCurrent","Yes, documented by caregiver (past or current)","4","3"
"PatientCarriesPsychiatricDiagnosis","Unknown","Unknown","5","9"
"ProblemsForWorkHomeAndSocialInteractionScale","NotAtAll","Not at all","1","0"
"ProblemsForWorkHomeAndSocialInteractionScale","Slightly","Slightly (bothersome but able to take care of things)","2","1"
"ProblemsForWorkHomeAndSocialInteractionScale","Moderately","Moderately (some difficulty taking care of things)","3","2"
"ProblemsForWorkHomeAndSocialInteractionScale","Considerably","Considerably (unable to work or manage home or deal with others)","4","3"
"ProblemsForWorkHomeAndSocialInteractionScale","Extremely","Extremely (unable to care for self or be safe)","5","4"
"PsychiatricDiagnosis","None","None","1","0"
"PsychiatricDiagnosis","AnxietyDisorder","Anxiety disorder","2","1"
"PsychiatricDiagnosis","PanicDisorder","Panic disorder","3","2"
"PsychiatricDiagnosis","Agoraphobia","Agoraphobia","4","3"
"PsychiatricDiagnosis","PostTraumaticStressDisorder","Post Traumatic Stress Disorder","5","4"
"PsychiatricDiagnosis","SocialPhobia","Social Phobia","6","5"
"PsychiatricDiagnosis","ObsessiveCompulsiveDisorder","Obsessive-Compulsive Disorder","7","6"
"PsychiatricDiagnosis","EatingDisorder","Eating disorder","8","7"
"PsychiatricDiagnosis","DepressiveDisorder","Depressive disorder","9","8"
"PsychiatricDiagnosis","ManiaOrBipolarDisorder","Mania or Bipolar Disorder","10","9"
"PsychiatricDiagnosis","SchizophreniaPsychoticOrThoughtDisorder","Schizophrenia, Psychotic or Thought Disorder","11","10"
"PsychiatricDiagnosis","BorderlineParanoidAntisocialOrOtherPersonalityDisorder","Borderline, Paranoid, Antisocial, or Other Personality Disorder","12","11"
"PsychiatricDiagnosis","Other","Other","13","12"
"PsychologicalEmotionalCounselingImportanceScale","NotImportant","Not at all, no psychological (i.e., non-substance) problems","1","0"
"PsychologicalEmotionalCounselingImportanceScale","SlightlyImportant","Slightly, mild psychological needs that can be addressed in conventional recovery work","2","1"
"PsychologicalEmotionalCounselingImportanceScale","ModeratelyImportant","Moderately, psychological needs will require specialized psychiatric care","3","2"
"PsychologicalEmotionalCounselingImportanceScale","ConsiderablyImportant","Considerably, has psychological needs that are in some conflict with recovery efforts","4","3"
"PsychologicalEmotionalCounselingImportanceScale","ExtremelyImportant","Extremely, wants ONLY psychological care","5","4"
"PsychologicalOrEmotionalProblems","None","None","1","0"
"PsychologicalOrEmotionalProblems","AnxietyDisorder","Anxiety disorder","2","1"
"PsychologicalOrEmotionalProblems","PanicDisorder","Panic disorder","3","2"
"PsychologicalOrEmotionalProblems","Agoraphobia","Agoraphobia","4","3"
"PsychologicalOrEmotionalProblems","PostTraumaticStressDisorder","Post Traumatic Stress Disorder","5","4"
"PsychologicalOrEmotionalProblems","SocialPhobia","Social Phobia","6","5"
"PsychologicalOrEmotionalProblems","ObsessiveCompulsiveDisorder","Obsessive-Compulsive Disorder","7","6"
"PsychologicalOrEmotionalProblems","EatingDisorder","Eating disorder","8","7"
"PsychologicalOrEmotionalProblems","DepressiveDisorder","Depressive disorder","9","8"
"PsychologicalOrEmotionalProblems","ManiaOrBipolarDisorder","Mania or Bipolar Disorder","10","9"
"PsychologicalOrEmotionalProblems","SchizophreniaPsychoticOrThoughtDisorder","Schizophrenia, Psychotic or Thought Disorder","11","10"
"PsychologicalOrEmotionalProblems","BorderlineParanoidAntisocialOrOtherPersonalityDisorder","Borderline, Paranoid, Antisocial, or Other Personality Disorder","12","11"
"PsychologicalOrEmotionalProblems","Other","Other","13","12"
"RangeOfEnergy","NoneNoProblems","None, no problems","1","0"
"RangeOfEnergy","MildIntermittentInfrequentLossOfEnergyAndFatigue","Mild, intermittent, infrequent loss of energy and fatigue","2","1"
"RangeOfEnergy","ProblemsDefinitelyPresentMostEveryDaySubjectivelyExperiencedAsSevere","Problems definitely present most every day, subjectively experienced as severe","3","2"
"RangeOfGuilt","Absent","Absent","1","0"
"RangeOfGuilt","SelfReproachFeelsHeSheHasLetPeopleDown","Self-reproach, feels he/she has let people down","2","1"
"RangeOfGuilt","IdeasOfGuiltOrRuminationsOverPastErrorsOrSinfulDeeds","Ideas of guilt or ruminations over past errors or sinful deeds","3","2"
"RangeOfGuilt","PresentIllnessIsAPunishmentDelusionsOfGuilt","Present illness is a punishment, delusions of guilt","4","3"
"RangeOfGuilt","HearsAccusatoryOrDenunciatoryVoicesAndOrExperiencesThreateningVisualHallucinations","Hears accusatory or denunciatory voices and/or experiences threatening visual hallucinations","5","4"
"RangeOfInterestInDoingThings","NoDifficulty","No difficulty","1","0"
"RangeOfInterestInDoingThings","ThoughtsAndFeelingsOfIncapacityFatigueOrWeakness","Thoughts and feelings of incapacity, fatigue or weakness related to activities, work or hobbies","2","1"
"RangeOfInterestInDoingThings","DecreaseInActualTimeSpentInActivitiesOrDecreaseInProductivity","Decrease in actual time spent in activities or decrease in productivity","3","3"
"RangeOfInterestInDoingThings","StoppedWorkingBecauseOfPresentIllness","Stopped working because of present illness","4","4"
"RangeOfInterestInDoingThings","LossOfInterestInActivityHobbiesOrWork","Loss of interest in activity, hobbies or work - by direct report of the patient or by indirect listlessness, indecision and vacillation","5","2"
"RangeOfIrritability","NoDifficulty","No difficulty","1","0"
"RangeOfIrritability","SubjectiveTensionAndIrritability","Subjective tension and irritability","2","1"
"RangeOfIrritability","WorryingAboutMinorMatters","Worrying about minor matters","3","2"
"RangeOfIrritability","ApprehensiveAttitudeApparentInFaceOrSpeech","Apprehensive attitude apparent in face or speech","4","3"
"RangeOfIrritability","FearsExpressedWithoutQuestioning","Fears expressed without questioning","5","4"
"RangeOfMood","Absent","Absent","1","0"
"RangeOfMood","IndicatedOnlyOnQuestioning","Indicated only on questioning","2","1"
"RangeOfMood","SpontaneouslyReportedVerbally","Spontaneously reported verbally","3","2"
"RangeOfMood","CommunicatedNonverbally","Communicated non-verbally, (i.e., facial expression, posture, voice, tendency to weep)","4","3"
"RangeOfMood","PredominantMoodBySpontaneousAndNonverbalCommunication","Predominant mood, by spontaneous and non-verbal communication","5","4"
"RelationToSubstanceUse","NotRelatedToUse","Not related to use","1","0"
"RelationToSubstanceUse","LikelyRelatedToActiveSubstanceUseOrIntoxication","Symptoms are likely related to active substance use or intoxication","2","1"
"RelationToSubstanceUse","LikelyRelatedToSubstanceWithdrawal","Symptoms are likely related to substance withdrawal","3","2"
"RelationToSubstanceUse","Unknown","Unknown","4","9"
"RetardationOfThoughtOrSpeech","NormalSpeechAndThought","Normal speech and thought","1","0"
"RetardationOfThoughtOrSpeech","SlightRetardationAtInterview","Slight retardation at interview","2","1"
"RetardationOfThoughtOrSpeech","ObviousRetardationAtInterview","Obvious retardation at interview","3","2"
"RetardationOfThoughtOrSpeech","InterviewDifficult","Interview difficult","4","3"
"RetardationOfThoughtOrSpeech","CompleteStupor","Complete stupor","5","4"
"RiskOfHarmToSelfOrOthersIsHigherWithSubstanceUse","NoNeverWithUseOrIntoxication","No, never with use or intoxication","1","0"
"RiskOfHarmToSelfOrOthersIsHigherWithSubstanceUse","YesOnlyWithUseOrIntoxication","Yes, only with use or intoxication","2","1"
"RiskOfHarmToSelfOrOthersIsHigherWithSubstanceUse","BothWithAndWithoutSubstanceUse","Both with and without substance use","3","2"
"RiskOfHarmToSelfOrOthersIsHigherWithSubstanceUse","Unknown","Unknown","4","9"
"SelfManageEmotionalProblemsScale","NotAtAll","Not at all, consistently manages psychological and emotional needs","1","0"
"SelfManageEmotionalProblemsScale","Slightly","Slightly, occasional lapses of self-care (neglects getting to sleep on time, exercising, or forgets a medication dose)","2","1"
"SelfManageEmotionalProblemsScale","Moderately","Moderately (can't set limits on stressful demands by others, forgets medications or fails to refill for a day)","3","2"
"SelfManageEmotionalProblemsScale","Considerably","Considerably (resists behavioral exposure exercises or has days of medication non-compliance)","4","3"
"SelfManageEmotionalProblemsScale","Extremely","Extremely (cannot reliably manage symptoms or medication compliance)","5","4"
"AgreementRating","DefinitelyNot","Definitely not","1","1"
"AgreementRating","DefinitelyYes","Definitely yes","6","6"
"AgreementRating","NoAnswer","No answer","0","0"
"AgreementRating","PossiblyNot","Possibly not","3","3"
"AgreementRating","PossiblyYes","Possibly yes","4","4"
"AgreementRating","ProbablyNot","Probably not","2","2"
"AgreementRating","ProbablyYes","Probably yes","5","5"
"DispositionLevel","ConflictJobFamily","Conflict with job/family responsibilities","5","5"
"DispositionLevel","DifferentPatientChoice","Different treatment selected due to patient choice","2","2"
"DispositionLevel","InsuranceWillNotApproveRecomendation","Patient has insurance but insurance will not approve recommended treatment","7","7"
"DispositionLevel","LackOfPhysicalAccess","Lack of physical access (e.g. transportation, mobility)","4","4"
"DispositionLevel","LacksOpeningOrWaitTooLong","Program available but lacks opening or wait list too long","8","8"
"DispositionLevel","MandatedDifferent","Court or other mandated treatment is different or blocks PPC-2R recommendation","10","10"
"DispositionLevel","NoAnswer","No answer","0","0"
"DispositionLevel","NotKnown","Not known","13","99"
"DispositionLevel","PatientEloped","Patient eloped","12","12"
"DispositionLevel","PatientLacksInsurance","Patient lacks insurance","6","6"
"DispositionLevel","PatientRejectsAnyTreatment","Patient rejects any treatment at this time","11","11"
"DispositionLevel","RejectedPatientCharacteristics","Program available but rejects patient due to patient characteristic(s), e.g. attitude, behavior, clinical status","9","9"
"DispositionLevel","SameAsRecommended","Final disposition is, or is expected to be, same as recommended by PPC-2R","1","1"
"DispositionLevel","UnavailableInGeographicRegion","Recommended program is unavailable in geographic region","3","3"
"InterviewTimeRating","JustAboutRight","Just about right","3","3"
"InterviewTimeRating","NoAnswer","No answer","0","0"
"InterviewTimeRating","NoDefinitelyTooLong","No, definitely too long","1","1"
"InterviewTimeRating","NoDefinitelyTooQuick","No, definitely too quick","5","5"
"InterviewTimeRating","NoSomewhatTooLong","No, somewhat too long","2","2"
"InterviewTimeRating","NoSomewhatTooQuick","No, somewhat too quick","4","4"
"LevelsOfDisparity","NoDisparity","No disparity","0","0"
"LevelsOfDisparity","YesDimension3","Yes, disparity generated primarily on Dim3","1","1"
"LevelsOfDisparity","YesDimension4","Yes, disparity generated primarily on Dim4","2","2"
"LevelsOfDisparity","YesDimension5","Yes, disparity generated primarily on Dim5","3","3"
"LevelsOfDisparity","YesDimension6","Yes, disparity generated primarily on Dim6","4","4"
"QualityRating","Excellent","Excellent","6","6"
"QualityRating","Fair","Fair","3","3"
"QualityRating","Good","Good","4","4"
"QualityRating","NoAnswer","No Answer","0","0"
"QualityRating","Poor","Poor","2","2"
"QualityRating","Unacceptable","Unacceptable","1","1"
"QualityRating","VeryGood","Very Good","5","5"
"TreatmentRating","LessIntensiveTreatment","Less intensive treatment","1","1"
"TreatmentRating","MoreIntensiveTreatment","More intensive treatment","2","2"
"TreatmentRating","NoAnswer","No Answer","0","0"
"TreatmentRating","NotApplicablePatientAgreesWithRecommendation","Not applicable because patient agrees with PPC-2R LOC recommendation","3","99"
"CareLevel","None","None","0","0"
"CareLevel","Level_05","Level 0.5","1","1"
"CareLevel","Level_I","Level I","2","2"
"CareLevel","Level_ID","Level I-D","3","3"
"CareLevel","Level_M","Level M","4","4"
"CareLevel","Level_II_1","Level II.1","5","5"
"CareLevel","Level_II_D","Level II-D","6","6"
"CareLevel","Level_II_5","Level II.5","7","7"
"CareLevel","Level_III_1","Level III.1","8","8"
"CareLevel","Level_III_2","Level III.2","9","9"
"CareLevel","Level_III_3","Level III.3","10","10"
"CareLevel","Level_III_5","Level III.5","11","11"
"CareLevel","Level_III_7","Level III.7","12","12"
"CareLevel","Level_III_7_D","Level III.7-D","13","13"
"CareLevel","Level_IV","Level IV","14","14"
"CareLevel","Level_IV_D","Level IV-D","15","15"
"CareLevelSubCategory","NotKnown","Not known","1","99"
"CareLevelSubCategory","AddictionOnlyServices","Addiction Only Services","2","1"
"CareLevelSubCategory","DualDiagnosisCapable","Dual Diagnosis Capable","3","2"
"CareLevelSubCategory","DualDiagnosisEnhanced","Dual Diagnosis Enhanced","4","3"
"Gender","Male","Male","1","1"
"Gender","Female","Female","1","2"
"LikertScale","NotAtAll","Not at all","1","0"
"LikertScale","Slightly","Slightly","2","1"
"LikertScale","Moderately","Moderately","3","2"
"LikertScale","Considerably","Considerably","4","3"
"LikertScale","Extremely","Extremely","5","4"
"YesNoIndifferent","No","No","1","0"
"YesNoIndifferent","Indifferent","Indifferent","2","1"
"YesNoIndifferent","Yes","Yes","3","2"
"YesNoNotApplicable","No","No","1","0"
"YesNoNotApplicable","Yes","Yes","2","1"
"YesNoNotApplicable","NotApplicable","Not Applicable","3","9"
"YesNoNotApplicableNotSure","NotApplicable","Not Applicable","1","-1"
"YesNoNotApplicableNotSure","No","No","2","0"
"YesNoNotApplicableNotSure","NotSureOrPossibly","Not sure or possibly","3","1"
"YesNoNotApplicableNotSure","Yes","Yes","4","2"
"YesNoNotSure","No","No","1","0"
"YesNoNotSure","NotSure","Not sure or possibly","2","1"
"YesNoNotSure","Yes","Yes","3","2"
"Currency","en-US","English (United States)","0","0"
"Ethnicity","Undeclared","Undeclared","1","0"
"Ethnicity","Caucasian","Caucasian","2","1"
"Ethnicity","AfricanAmerican","African American","3","2"
"Ethnicity","NativeAmerican","Native American","4","3"
"Ethnicity","PacificIslander","Pacific Islander","5","4"
"Ethnicity","AlaskanNative","Alaskan Native","6","5"
"Ethnicity","Hispanic","Hispanic","7","6"
"Ethnicity","Asian","Asian","8","7"
"Religion","Protestant","Protestant","1","1"
"Religion","Catholic","Catholic","2","2"
"Religion","Jewish","Jewish","3","3"
"Religion","Islamic","Islamic","4","4"
"Religion","Other","Other","5","5"
"Religion","None","None","6","6"
